SiteName,Locator,Latitude,Longitude,Site Type,Area,New Georeferenced Column
Lake Sammamish mid-lake north,0611,47.6228,-122.0808,Large Lakes,Lake Sammamish,POINT (-122.08083 47.622776)
Covington Creek at SE Auburn-Black Diamond Rd,C320,47.3122,-122.0966,Streams and Rivers,Covington,POINT (-122.0966111 47.31216667)
Cedar River at Bronson Way N,0438,47.4813,-122.2028,Streams and Rivers,Cedar,POINT (-122.2027889 47.48125)
Duwamish River - East Waterway,HNFD01,47.577,-122.344,Marine Offshore,Central Puget Sound,POINT (-122.3440018 47.5769997)
Lake Washington off Chism Park,0847,47.602,-122.2364,Large Lakes,Lake Washington,POINT (-122.23636 47.601982)
Christensen Creek mouth,VA23A,47.403,-122.5176,Streams and Rivers,Christensen,POINT (-122.5176111 47.40295278)
Fairweather Creek mouth downstream of 520 trail,0498,47.6365,-122.2306,Streams and Rivers,Fairweather,POINT (-122.2306111 47.6365)
Point Wells - Discontinued,PTWELLS1,47.7852,-122.407,Marine Offshore,Central Puget Sound,POINT (-122.4070333 47.78523583)
Richmond Beach,JSVW04,47.7739,-122.392,Marine Intertidal,Central Puget Sound,POINT (-122.3919983 47.7738991)
Soos Creek mouth below Soos Creek Hatchery,A320,47.3085,-122.1691,Streams and Rivers,Soos,POINT (-122.1690917 47.30847778)
BELLEVUE  Enatai Park Beach,ENATAISB,47.5788,-122.197,Swimming Beaches,Lake Washington,POINT (-122.19704 47.578823)
Golden Gardens Park,KSLU03,47.6919,-122.405,Marine Intertidal,Central Puget Sound,POINT (-122.4049988 47.6918983)
Dockton Park,NSAJ02,47.3761,-122.4572,Marine Offshore,Central Puget Sound,POINT (-122.45722 47.376111)
Cherry Creek at NE Cherry Valley Rd,CHERRY_1,47.7431,-121.9417,Streams and Rivers,Cherry Creek,POINT (-121.9416667 47.74305556)
Pipers Creek mouth,KSHZ06,47.7119,-122.3794,Streams and Rivers,Pipers,POINT (-122.3794167 47.71186111)
Mileta Creek at Dockton Rd SW,VA45A,47.3884,-122.4279,Streams and Rivers,Mileta,POINT (-122.4278694 47.38844444)
Idylwood Park Swim Beach,0602SB,47.6417,-122.1008,Swimming Beaches,Lake Sammamish,POINT (-122.100845 47.64167)
Duwamish River - Henderson/MLK Outfall,LTXQ01,47.5123,-122.3,Marine Offshore,Central Puget Sound,POINT (-122.3000031 47.5122986)
Alki Outfall Beach,LSKR01,47.5747,-122.417,Marine Intertidal,Central Puget Sound,POINT (-122.4169998 47.5746994)
