Sample_ID,Collect_DateTime,Ammonia Nitrogen,Conductivity,"Conductivity, Field",Dissolved Oxygen,"Dissolved Oxygen, Field",E. coli,Enterococcus,Fecal Coliform,Nitrite + Nitrate Nitrogen,Orthophosphate Phosphorus,Silica,Temperature,Total Alkalinity,Total Nitrogen,Total Phosphorus,Total Suspended Solids,Turbidity,pH,"pH, Field"
5744,04/12/2017 08:22:00 AM,0.0203,,84.6,,10.6,,,40.0,0.379,0.0128,,9.3,25.8,0.49,0.0292,5.8,5.59,,7.47
7303,10/15/1970 12:00:00 AM,0.18,,,,,,,,0.08,,,10.0,,,,,,,
7304,10/15/1970 12:00:00 AM,,,,,,,,5400.0,,,,10.0,,,,,,,
7307,10/29/1970 12:00:00 AM,0.09,,,,,,,,0.16,,,7.3,,,,,,,
7310,11/12/1970 12:00:00 AM,0.1,,,,,,,850.0,0.41,,,9.5,,,,,,,
7313,12/16/1970 12:00:00 AM,0.31,,,,,,,200.0,0.34,,,7.0,,,,,,,
7316,12/29/1970 12:00:00 AM,0.44,,,,,,,240.0,0.42,,,4.8,,,,,,,
7319,01/14/1971 12:00:00 AM,0.2,,,,,,,40.0,0.32,,,2.5,,,,,,,
7322,01/28/1971 12:00:00 AM,0.11,,,,,,,280.0,0.26,,,5.5,,,,,,,
7325,02/10/1971 12:00:00 AM,0.35,,,,,,,200.0,0.23,,,6.2,,,,,,,
7328,02/23/1971 12:00:00 AM,0.08,,,,,,,240.0,0.41,,,7.6,,,,,,,
7331,03/15/1971 12:00:00 AM,0.27,,,,,,,150.0,0.56,,,6.5,,,,,,,
7334,04/01/1971 12:00:00 AM,0.18,,,,,,,42.0,0.37,,,7.2,,,,,,,
7337,04/12/1971 12:00:00 AM,0.07,,,,,,,280.0,0.32,,,8.2,,,,,,,
7338,04/12/1971 12:00:00 AM,0.07,,,,,,,,0.32,,,8.2,,,,,,,
7341,04/26/1971 12:00:00 AM,0.15,,,,,,,60.0,0.34,,,10.2,,,,,,,
7344,05/10/1971 12:00:00 AM,0.06,,,,,,,20.0,0.14,,,8.6,,,,,,,
7347,05/24/1971 12:00:00 AM,0.19,,,,,,,90.0,0.25,,,11.2,,,,,,,
7348,05/24/1971 12:00:00 AM,0.19,,,,,,,,0.25,,,11.2,,,,,,,
7351,06/08/1971 12:00:00 AM,0.14,,,,,,,120.0,0.21,,,10.6,,,,,,,
7355,06/22/1971 12:00:00 AM,0.5,,,,,,,290.0,0.31,,,16.8,,,,,,,
7356,06/22/1971 12:00:00 AM,0.5,,,,,,,,0.31,,,16.8,,,,,,,
7359,07/07/1971 12:00:00 AM,0.27,,,,,,,30.0,0.23,,,12.0,,,,,,,
7360,07/07/1971 12:00:00 AM,0.27,,,,,,,,0.23,,,12.0,,,,,,,
7363,07/20/1971 12:00:00 AM,0.04,,,,,,,20.0,0.38,,,13.8,,,,,,,
7364,07/20/1971 12:00:00 AM,0.04,,,,,,,,0.38,,,13.8,,,,,,,
7367,08/04/1971 12:00:00 AM,0.34,,,,,,,100.0,0.54,,,19.2,,,,,,,
7370,08/17/1971 12:00:00 AM,0.46,,,,,,,,0.54,,,18.2,,,,,,,
7373,08/19/1971 12:00:00 AM,0.46,,,,,,,500.0,0.54,,,18.2,,,,,,,
7377,08/31/1971 12:00:00 AM,0.72,,,,,,,150.0,0.54,,,17.2,,,,,,,
7378,08/31/1971 12:00:00 AM,0.72,,,,,,,,0.5,,,17.2,,,,,,,
7381,09/09/1971 12:00:00 AM,0.36,,,,,,,20.0,0.35,,,16.2,,,,,,,
7385,09/21/1971 12:00:00 AM,0.2,,,,,,,20.0,1.08,,,13.5,,,,,,,
7386,09/21/1971 12:00:00 AM,0.2,,,,,,,,1.0,,,13.5,,,,,,,
7389,10/05/1971 12:00:00 AM,0.02,,,,,,,430.0,0.68,,,15.2,,,,,,,
7390,10/05/1971 12:00:00 AM,0.02,,,,,,,,0.68,,,15.2,,,,,,,
7393,10/18/1971 12:00:00 AM,0.44,,,,,,,35.0,0.84,,,9.0,,,,,,,
7394,10/18/1971 12:00:00 AM,0.44,,,,,,,,0.84,,,9.0,,,,,,,
7396,10/27/1971 12:00:00 AM,0.02,,,,,,,90.0,0.28,,,8.8,,,,,,,
7398,11/02/1971 12:00:00 AM,0.12,,,,,,,35.0,0.39,,,11.5,,,,,,,
7400,11/18/1971 12:00:00 AM,0.32,,,,,,,20.0,0.48,,,6.2,,,,,,,
7402,11/30/1971 12:00:00 AM,0.31,,,,,,,60.0,0.42,,,7.0,,,,,,,
7410,12/15/1971 12:00:00 AM,0.28,,,,,,,160.0,0.53,,,4.7,,,,,,,
7414,12/30/1971 12:00:00 AM,0.31,,,,,,,20.0,0.58,,,3.9,,,,,,,
7422,01/10/1972 12:00:00 AM,0.41,,,,,,,130.0,0.48,,,4.2,,,,,,,
7435,01/24/1972 12:00:00 AM,0.1,,,,,,,100.0,0.38,,,4.8,,,,,,,
7437,02/09/1972 12:00:00 AM,0.33,,,,,,,540.0,0.46,,,4.6,,,,,,,
