Sample_ID,Collect_DateTime,Ammonia Nitrogen,Conductivity,"Conductivity, Field",Dissolved Oxygen,"Dissolved Oxygen, Field",E. coli,Enterococcus,Fecal Coliform,Nitrite + Nitrate Nitrogen,Orthophosphate Phosphorus,Silica,Temperature,Total Alkalinity,Total Nitrogen,Total Phosphorus,Total Suspended Solids,Turbidity,pH,"pH, Field"
5725,04/11/2017 12:40:00 PM,0.0151,,94.3,,11.7,,,5.0,0.678,0.00848,15.9,8.6,34.8,0.861,0.0222,3.6,2.14,,7.41
5752,04/11/2017 12:26:00 PM,0.0056,,128.0,,11.1,,,1.0,0.118,0.00868,,10.0,47.5,0.336,0.0279,2.0,1.7,,7.36
5771,04/11/2017 12:12:00 PM,0.005,,92.6,,11.6,,,7.0,0.764,0.00725,,8.8,32.9,0.938,0.0239,3.2,2.46,,7.41
7415,01/04/1972 12:00:00 AM,0.01,79.0,,12.8,,,,,0.14,,,4.2,24.0,,,26.0,2.6,6.3,6.3
7416,01/04/1972 12:00:00 AM,0.01,65.0,,12.0,,,,,0.16,,,2.5,17.0,,,5.0,2.5,7.0,7.0
7419,01/04/1972 12:00:00 AM,0.01,80.0,,12.7,,,,,0.13,,,4.4,26.0,,,6.2,2.5,6.7,6.7
7420,01/04/1972 12:00:00 AM,0.01,65.0,,13.3,,,,,0.16,,,2.5,17.0,,,,2.8,6.8,6.8
7450,03/22/1972 12:00:00 AM,0.04,77.0,,11.2,,,,,0.9,,,10.1,31.0,,,30.0,6.7,7.0,7.0
7451,03/22/1972 12:00:00 AM,0.03,53.0,,9.8,,,,,0.5,,,9.8,30.0,,,1.6,2.6,6.7,6.7
7455,03/22/1972 12:00:00 AM,0.04,78.0,,11.2,,,,,0.84,,,9.8,38.0,,,18.0,7.7,7.5,7.5
7456,03/22/1972 12:00:00 AM,0.03,54.0,,11.3,,,,,0.72,,,10.4,28.0,,,1.0,3.1,7.1,7.1
7486,05/01/1972 12:00:00 AM,0.01,83.0,,11.7,,,,,0.68,,,9.0,26.0,,,15.5,1.2,6.2,6.2
7487,05/01/1972 12:00:00 AM,0.02,56.0,,10.1,,,,,0.42,,,8.9,15.0,,,6.5,1.1,6.0,6.0
7490,05/01/1972 12:00:00 AM,0.01,80.0,,12.2,,,,,0.66,,,8.2,22.0,,,5.7,1.4,6.2,6.2
7491,05/01/1972 12:00:00 AM,0.01,60.0,,11.8,,,,,0.44,,,9.1,17.0,,,5.6,1.6,6.2,6.2
8049,04/02/1975 12:00:00 AM,0.01,82.0,,12.2,,,,69.0,0.88,,,6.5,,,0.09,,4.4,7.4,7.4
8050,04/02/1975 12:00:00 AM,0.01,81.0,,10.2,,,,280.0,0.39,,,7.8,,,0.1,,6.7,7.4,7.4
8063,06/24/1975 12:00:00 AM,0.01,108.0,,10.1,,,,290.0,0.59,,,11.5,,,0.05,,17.0,7.4,7.4
8064,06/24/1975 12:00:00 AM,0.01,108.0,,6.7,,,,370.0,0.25,,,12.6,,,0.17,,52.0,7.1,7.1
8067,06/24/1975 12:00:00 AM,0.02,114.0,,11.2,,,,,0.55,,,12.4,,,0.14,,38.0,7.3,7.3
8080,09/02/1975 12:00:00 AM,0.01,95.0,,10.9,,,,180.0,0.7,,,11.3,,,0.14,,1.4,6.6,6.6
8081,09/02/1975 12:00:00 AM,0.01,91.0,,5.9,,,,110.0,0.09,,,13.6,,,0.12,,2.1,6.8,6.8
8084,09/02/1975 12:00:00 AM,0.02,126.0,,10.7,,,,230.0,0.7,,,11.7,,,0.14,,5.3,7.4,7.4
8099,12/09/1975 12:00:00 AM,0.01,58.0,,11.5,,,,47.0,1.32,,,8.1,,,0.17,,47.0,7.2,7.2
8100,12/09/1975 12:00:00 AM,0.02,63.0,,10.4,,,,20.0,1.08,,,8.6,,,0.07,,42.0,7.1,7.1
8103,12/09/1975 12:00:00 AM,0.02,60.0,,11.2,,,,20.0,1.21,,,8.8,,,0.11,,27.0,7.2,7.2
8119,03/10/1976 12:00:00 AM,0.015,200.0,,12.1,,,,21.0,0.977,,,5.9,,,0.08,,1.6,7.2,7.2
8120,03/10/1976 12:00:00 AM,0.021,86.0,,10.5,,,,20.0,0.636,,,6.8,,,0.11,,1.9,7.0,7.0
8121,03/10/1976 12:00:00 AM,0.02,92.0,,11.9,,,,34.0,0.908,,,6.3,,,0.11,,1.5,7.2,7.2
8170,06/16/1976 12:00:00 AM,0.029,81.0,,10.6,,,,690.0,0.603,,,10.9,,,0.22,,21.5,7.2,7.2
8171,06/16/1976 12:00:00 AM,0.032,98.0,,7.7,,,,150.0,0.168,,,12.8,,,0.14,,4.9,7.0,7.0
8174,06/16/1976 12:00:00 AM,0.036,86.0,,10.3,,,,560.0,0.558,,,11.8,,,0.12,,26.0,7.4,7.4
8730,01/31/1979 12:00:00 AM,0.018,92.0,,12.1,,,,20.0,1.7,0.018,,1.3,,,0.022,5.2,14.0,7.2,7.2
8731,01/31/1979 12:00:00 AM,0.022,98.0,,10.1,,,,23.0,1.64,0.032,,3.0,,,0.05,22.5,10.0,6.7,6.7
8736,01/31/1979 12:00:00 AM,0.014,100.0,,11.1,,,,360.0,1.6,0.018,,2.4,,,0.036,22.0,6.1,7.3,7.3
8755,02/22/1979 12:00:00 AM,0.065,98.0,,10.4,,,,23.0,1.36,0.015,,3.2,,,0.024,9.6,3.0,7.1,7.1
8756,02/22/1979 12:00:00 AM,0.034,108.0,,9.8,,,,50.0,1.2,0.02,,3.4,,,0.035,10.8,4.2,7.0,7.0
8769,02/22/1979 12:00:00 AM,0.038,109.0,,10.1,,,,20.0,1.35,0.014,,3.4,,,0.025,6.6,2.2,7.1,7.1
8812,03/22/1979 12:00:00 AM,0.008,105.0,,11.7,,,,20.0,1.35,0.012,,6.2,,,0.022,2.3,5.1,7.3,7.3
8813,03/22/1979 12:00:00 AM,0.022,170.0,,10.1,,,,130.0,0.792,0.021,,7.3,,,0.034,3.6,5.8,6.9,6.9
8818,03/22/1979 12:00:00 AM,0.021,120.0,,11.1,,,,500.0,1.25,0.014,,6.7,,,0.027,2.5,2.3,7.3,7.3
8843,04/19/1979 12:00:00 AM,0.021,82.0,,12.5,,,,23.0,1.23,0.007,,6.9,,,0.027,3.6,1.9,7.1,7.1
8844,04/19/1979 12:00:00 AM,0.018,109.0,,16.4,,,,20.0,0.994,0.012,,7.6,,,0.03,5.6,2.4,6.8,6.8
8857,04/19/1979 12:00:00 AM,0.03,88.0,,17.6,,,,60.0,1.19,0.012,,7.0,,,0.027,5.3,2.2,7.0,7.0
